"","abrev","Yindex","Year","FelOth","CivAdd","Total","DesCap","PercCap","StaffCap","name"
"96","NKSP",355,1997,5092,0,5092,2692,189.2,5104,NA
"97","PDC",364,1997,1318,0,1318,0,0,700,NA
"98","PBSP",373,1997,3785,0,3785,2280,166,3711,NA
"99","PVSP",391,1997,4697,0,4697,2208,212.7,4588,NA
"100","RJD",400,1997,4586,0,4586,2200,208.5,4668,NA
"101","SVSP",409,1997,4235,0,4235,2224,190.4,4046,NA
"102","SRTA",419,1997,696,1,697,0,0,750,NA
"103","SCC",437,1997,5991,1,5992,3606,166.2,5884,NA
"104","WSP",446,1997,5726,48,5774,2984,193.5,6044,NA
"105","MALE",473,1997,135800,1837,137637,69722,197.4,135018,NA
"106","CIW",519,1997,1774,20,1794,1026,174.9,1663,NA
"107","CRC",528,1997,371,528,899,500,179.8,842,NA
"108","CCWF",537,1997,3443,9,3452,2004,172.3,3274,NA
"109","NCWF",546,1997,739,1,740,400,185,760,NA
"110","SCC",555,1997,324,0,324,320,101.3,320,NA
"111","VSP",564,1997,3289,15,3304,1980,166.9,3090,NA
"112","FEMALE",591,1997,9940,573,10513,6230,168.7,9949,NA
"113","INSTITUTIONS/CAMPS",627,1997,145740,2410,148150,75952,195.1,144967,NA
"114","ASP",120,1998,5738,0,5738,2320,247.3,5793,NA
"115","CCC",129,1998,5977,0,5977,3682,162.3,5657,NA
"116","CCI",138,1998,5956,1,5957,2781,214.2,5992,NA
"117","CIM",147,1998,6443,32,6475,3078,210.4,6318,NA
"118","CMF",165,1998,3217,0,3217,2315,139,3377,NA
"119","CMC",174,1998,6661,0,6661,3884,171.5,6724,NA
"120","CRC",183,1998,2570,1400,3970,1814,218.9,3906,NA
"121","CAL",192,1998,4061,0,4061,2208,183.9,4108,NA
"122","CEN",210,1998,4406,1,4407,2208,199.6,4468,NA
"123","COR",219,1998,4890,0,4890,3016,162.1,5063,NA
"124","LAC",228,1998,4098,0,4098,2200,186.3,4100,NA
"125","SAC",237,1998,3193,0,3193,1728,184.8,3204,NA
"126","SQ",255,1998,5809,20,5829,3283,177.6,5667,NA
"127","SOL",264,1998,5544,1,5545,2610,212.5,5552,NA
"128","CVSP",282,1998,3632,0,3632,1738,209,3679,NA
"129","CTF",300,1998,7161,0,7161,3281,218.3,6941,NA
"130","DVI",310,1998,3626,39,3665,1787,205.1,3606,NA
"131","FOL",319,1998,3831,0,3831,2072,184.9,3725,NA
"132","HDP",328,1998,3931,1,3932,2224,176.8,4046,NA
"133","IRON",346,1998,4312,0,4312,2200,196,4340,NA
"134","MCSP",355,1998,3664,0,3664,1700,215.5,3562,NA
"135","NKSP",364,1998,4701,3,4704,2692,174.7,5104,NA
"136","PDC",373,1998,1197,0,1197,0,0,1400,NA
"137","PBSP",391,1998,3519,1,3520,2280,154.4,3711,NA
"138","PVSP",400,1998,4384,0,4384,2208,198.6,4348,NA
"139","RJD",409,1998,4688,1,4689,2200,213.1,4698,NA
"140","SVSP",419,1998,4118,0,4118,2224,185.2,4046,NA
"141","SRTA",437,1998,683,0,683,0,0,750,NA
"142","SCC",446,1998,5780,1,5781,3606,160.3,5884,NA
