"","name","abrev","PercCap","DesCap","FelOth","StafCap","Total","CivAdd","Yindex","Year"
"513","(VALLEY SP)","VSP","171.6","1,936","3,316","3,244","3,322","6","505","../data/CA_prison_pop_reports/July_2011.pdf"
"514","Female Total","FEMALE","172.4","5,326","9,059","9,250","9,183","124","522","../data/CA_prison_pop_reports/July_2011.pdf"
"515","Total",NA,"175.6","84,116","147,176","148,943","147,698","522","574","../data/CA_prison_pop_reports/July_2011.pdf"
"516","(AVENAL SP)","ASP","158.9","2,920","4,641","4,606","4,641","0","122","../data/CA_prison_pop_reports/July_2012.pdf"
"517","(CAL CORRECTL CTR)","CCC","115.5","3,883","4,485","4,392","4,485","0","131","../data/CA_prison_pop_reports/July_2012.pdf"
"518","(CAL CORRECTL INSTITN)","CCI","168.1","2,783","4,679","5,083","4,679","0","139","../data/CA_prison_pop_reports/July_2012.pdf"
"519","(CAL INSTITN FOR MEN)","CIM","165.4","2,976","4,915","6,005","4,921","6","148","../data/CA_prison_pop_reports/July_2012.pdf"
"520","(CAL MEDICAL FACIL)","CMF","102.2","2,297","2,347","2,377","2,347","0","165","../data/CA_prison_pop_reports/July_2012.pdf"
"521","(CAL COLONY)","CMC","139.1","3,838","5,340","5,320","5,340","0","173","../data/CA_prison_pop_reports/July_2012.pdf"
"522","(CAL REHAB MEN)","CRC","146.1","2,491","3,451","3,769","3,639","188","182","../data/CA_prison_pop_reports/July_2012.pdf"
"523","(CAL CALIPATRIA)","CAL","162.4","2,308","3,749","3,710","3,749","0","190","../data/CA_prison_pop_reports/July_2012.pdf"
"524","(CAL CENTINELA)","CEN","162.3","2,308","3,746","3,758","3,746","0","207","../data/CA_prison_pop_reports/July_2012.pdf"
"525","(CAL CORCORAN)","COR","151.8","3,116","4,731","4,619","4,731","0","216","../data/CA_prison_pop_reports/July_2012.pdf"
"526","(CAL LOS ANGELES CO)","LAC","171.7","2,300","3,950","3,990","3,950","0","224","../data/CA_prison_pop_reports/July_2012.pdf"
"527","(CAL SACRAMENTO)","SAC","145.0","1,828","2,651","2,743","2,651","0","233","../data/CA_prison_pop_reports/July_2012.pdf"
"528","(CAL SAN QUENTIN)","SQ","120.0","3,082","3,699","3,882","3,699","0","250","../data/CA_prison_pop_reports/July_2012.pdf"
"529","(CAL SOLANO)","SOL","161.6","2,610","4,219","4,240","4,219","0","258","../data/CA_prison_pop_reports/July_2012.pdf"
"530","(CAL SATF AND SP COR)","SATF","161.3","3,424","5,518","5,300","5,523","5","267","../data/CA_prison_pop_reports/July_2012.pdf"
"531","(CHUCKAWALLA VALLEY SP)","CVSP","152.9","1,738","2,657","2,615","2,657","0","275","../data/CA_prison_pop_reports/July_2012.pdf"
"532","(CORRL TRAING FAC)","CTF","170.4","3,312","5,644","5,202","5,644","0","292","../data/CA_prison_pop_reports/July_2012.pdf"
"533","(DEUEL VOCATL INSTITN)","DVI","149.3","1,681","2,505","2,478","2,510","5","301","../data/CA_prison_pop_reports/July_2012.pdf"
"534","(FOLSOM SP)","FOL","115.0","2,469","2,839","2,852","2,839","0","309","../data/CA_prison_pop_reports/July_2012.pdf"
"535","(HIGH DESERT SP)","HDP","160.6","2,324","3,730","3,695","3,732","2","318","../data/CA_prison_pop_reports/July_2012.pdf"
"536","(IRONWOOD SP)","IRON","155.5","2,200","3,420","3,310","3,420","0","335","../data/CA_prison_pop_reports/July_2012.pdf"
"537","(KERN VALLEY SP)","KVSP","169.6","2,448","4,151","4,344","4,151","0","344","../data/CA_prison_pop_reports/July_2012.pdf"
"538","(MULE CREEK SP)","MCSP","179.4","1,700","3,049","3,036","3,049","0","352","../data/CA_prison_pop_reports/July_2012.pdf"
"539","(NORTH KERN SP)","NKSP","171.6","2,694","4,621","4,789","4,623","2","361","../data/CA_prison_pop_reports/July_2012.pdf"
"540","(PELICAN BAY SP)","PBSP","133.3","2,380","3,173","3,143","3,173","0","378","../data/CA_prison_pop_reports/July_2012.pdf"
"541","(PLEASANT VALLEY SP)","PVSP","165.3","2,308","3,816","3,758","3,816","0","386","../data/CA_prison_pop_reports/July_2012.pdf"
"542","(RJ DONOVAN CORR FACIL)","RJD","148.5","2,200","3,267","3,560","3,267","0","395","../data/CA_prison_pop_reports/July_2012.pdf"
"543","(SALINAS VAL SP)","SVSP","144.8","2,452","3,550","3,459","3,550","0","403","../data/CA_prison_pop_reports/July_2012.pdf"
"544","(SIERRA CONSERV CTR)","SCC","115.5","3,736","4,316","4,701","4,316","0","420","../data/CA_prison_pop_reports/July_2012.pdf"
"545","(WASCO SP)","WSP","163.8","2,984","4,886","5,135","4,889","3","429","../data/CA_prison_pop_reports/July_2012.pdf"
"546","Male Total","MALE","149.7","78,790","117,745","119,871","117,956","211","446","../data/CA_prison_pop_reports/July_2012.pdf"
"547","(CAL INST FOR WOMEN)","CIW","110.1","1,356","1,454","1,642","1,493","39","488","../data/CA_prison_pop_reports/July_2012.pdf"
"548","(CENT CAL FACIL)","CCWF","133.1","2,004","2,615","2,836","2,667","52","497","../data/CA_prison_pop_reports/July_2012.pdf"
"549","(VALLEY SP)","VSP","100.8","1,980","1,995","2,101","1,995","0","505","../data/CA_prison_pop_reports/July_2012.pdf"
"550","Female Total","FEMALE","115.3","5,340","6,064","6,579","6,155","91","522","../data/CA_prison_pop_reports/July_2012.pdf"
"551","Total",NA,"147.5","84,130","123,809","126,450","124,111","302","574","../data/CA_prison_pop_reports/July_2012.pdf"
"552","(AVENAL SP)","ASP","154.9","2,920","4,523","4,456","4,523","0","122","../data/CA_prison_pop_reports/July_2013.pdf"
"553","(CAL CORRECTL CTR)","CCC","128.9","3,883","5,007","4,718","5,007","0","131","../data/CA_prison_pop_reports/July_2013.pdf"
"554","(CAL CORRECTL INSTITN)","CCI","163.7","2,783","4,557","4,267","4,557","0","139","../data/CA_prison_pop_reports/July_2013.pdf"
"555","(CAL HEALTH CARE FACIL)","CHCF","10.0","1,818","182","1,818","182","0","148","../data/CA_prison_pop_reports/July_2013.pdf"
"556","(CAL INSTITN FOR MEN)","CIM","162.8","2,976","4,843","4,455","4,845","2","165","../data/CA_prison_pop_reports/July_2013.pdf"
"557","(CAL MEDICAL FACIL)","CMF","98.5","2,361","2,326","2,692","2,326","0","173","../data/CA_prison_pop_reports/July_2013.pdf"
"558","(CAL COLONY)","CMC","128.0","3,838","4,911","5,157","4,911","0","182","../data/CA_prison_pop_reports/July_2013.pdf"
"559","(CAL REHAB MEN)","CRC","141.4","2,491","3,479","3,481","3,522","43","190","../data/CA_prison_pop_reports/July_2013.pdf"
"560","(CAL CALIPATRIA)","CAL","157.8","2,308","3,641","3,608","3,641","0","207","../data/CA_prison_pop_reports/July_2013.pdf"
"561","(CAL CENTINELA)","CEN","125.8","2,308","2,903","3,358","2,903","0","216","../data/CA_prison_pop_reports/July_2013.pdf"
"562","(CAL CORCORAN)","COR","137.5","3,116","4,284","4,419","4,284","0","224","../data/CA_prison_pop_reports/July_2013.pdf"
"563","(CAL LOS ANGELES CO)","LAC","157.1","2,300","3,613","3,501","3,613","0","233","../data/CA_prison_pop_reports/July_2013.pdf"
"564","(CAL SACRAMENTO)","SAC","121.9","1,828","2,229","2,539","2,229","0","250","../data/CA_prison_pop_reports/July_2013.pdf"
"565","(CAL SAN QUENTIN)","SQ","139.6","3,082","4,303","3,710","4,303","0","258","../data/CA_prison_pop_reports/July_2013.pdf"
"566","(CAL SOLANO)","SOL","151.4","2,610","3,951","3,940","3,951","0","267","../data/CA_prison_pop_reports/July_2013.pdf"
"567","(CAL SATF AND SP COR)","SATF","165.1","3,424","5,653","5,290","5,654","1","275","../data/CA_prison_pop_reports/July_2013.pdf"
"568","(CHUCKAWALLA VALLEY SP)","CVSP","149.7","1,738","2,599","2,453","2,601","2","292","../data/CA_prison_pop_reports/July_2013.pdf"
"569","(CORRL TRAING FAC)","CTF","159.7","3,312","5,290","4,981","5,290","0","301","../data/CA_prison_pop_reports/July_2013.pdf"
"570","(DEUEL VOCATL INSTITN)","DVI","166.0","1,681","2,789","2,368","2,790","1","309","../data/CA_prison_pop_reports/July_2013.pdf"
"571","(FOLSOM SP)","FOL","129.9","2,066","2,684","2,895","2,684","0","318","../data/CA_prison_pop_reports/July_2013.pdf"
"572","(HIGH DESERT SP)","HDP","142.3","2,324","3,308","3,560","3,308","0","335","../data/CA_prison_pop_reports/July_2013.pdf"
"573","(IRONWOOD SP)","IRON","145.1","2,200","3,192","3,175","3,192","0","344","../data/CA_prison_pop_reports/July_2013.pdf"
"574","(KERN VALLEY SP)","KVSP","151.3","2,448","3,705","4,194","3,705","0","352","../data/CA_prison_pop_reports/July_2013.pdf"
"575","(MULE CREEK SP)","MCSP","164.1","1,700","2,789","2,570","2,789","0","361","../data/CA_prison_pop_reports/July_2013.pdf"
"576","(NORTH KERN SP)","NKSP","177.2","2,694","4,773","4,397","4,773","0","378","../data/CA_prison_pop_reports/July_2013.pdf"
"577","(PELICAN BAY SP)","PBSP","118.7","2,380","2,826","3,188","2,826","0","386","../data/CA_prison_pop_reports/July_2013.pdf"
"578","(PLEASANT VALLEY SP)","PVSP","147.3","2,308","3,400","3,558","3,400","0","395","../data/CA_prison_pop_reports/July_2013.pdf"
"579","(RJ DONOVAN CORR FACIL)","RJD","147.8","2,200","3,252","3,280","3,252","0","403","../data/CA_prison_pop_reports/July_2013.pdf"
"580","(SALINAS VAL SP)","SVSP","143.8","2,452","3,526","3,484","3,526","0","420","../data/CA_prison_pop_reports/July_2013.pdf"
"581","(SIERRA CONSERV CTR)","SCC","130.4","3,736","4,870","4,576","4,870","0","429","../data/CA_prison_pop_reports/July_2013.pdf"
"582","(VALLEY SP MEN)","VSPM","156.8","1,980","3,105","2,970","3,105","0","437","../data/CA_prison_pop_reports/July_2013.pdf"
"583","(WASCO SP)","WSP","171.1","2,984","5,107","4,997","5,107","0","446","../data/CA_prison_pop_reports/July_2013.pdf"
"584","Male Total","MALE","143.1","82,249","117,620","118,055","117,669","49","471","../data/CA_prison_pop_reports/July_2013.pdf"
"585","(CAL INST FOR WOMEN)","CIW","153.8","1,398","2,141","2,042","2,150","9","514","../data/CA_prison_pop_reports/July_2013.pdf"
"586","(CENT CAL FACIL)","CCWF","173.6","2,004","3,474","3,430","3,478","4","522","../data/CA_prison_pop_reports/July_2013.pdf"
"587","(FOLSOM WF)","FWF","59.1","403","238","200","238","0","531","../data/CA_prison_pop_reports/July_2013.pdf"
"588","Female Total","FEMALE","154.2","3,805","5,853","5,672","5,866","13","548","../data/CA_prison_pop_reports/July_2013.pdf"
"589","Total",NA,"143.6","86,054","123,473","123,727","123,535","62","599","../data/CA_prison_pop_reports/July_2013.pdf"
"590","(Avenal SP)","ASP","124.9","2,920","3,647","4,702","3,647","0","122","../data/CA_prison_pop_reports/July_2014.pdf"
"591","(Calipatria SP)","CAL","166.9","2,308","3,851","3,833","3,851","0","131","../data/CA_prison_pop_reports/July_2014.pdf"
"592","(CA Correctional Center)","CCC","126.8","3,883","4,923","4,872","4,924","1","139","../data/CA_prison_pop_reports/July_2014.pdf"
"593","(CA Correctional Institution)","CCI","159.2","2,783","4,431","4,412","4,431","0","148","../data/CA_prison_pop_reports/July_2014.pdf"
"594","(Centinela SP)","CEN","120.3","2,308","2,777","3,433","2,777","0","165","../data/CA_prison_pop_reports/July_2014.pdf"
"595","(CA Health Care Fac Stockton)","CHCF","53.4","2,951","1,577","2,951","1,577","0","173","../data/CA_prison_pop_reports/July_2014.pdf"
"596","(CA Institution for Men)","CIM","158.9","2,976","4,728","4,728","4,728","0","182","../data/CA_prison_pop_reports/July_2014.pdf"
"597","(CA Colony)","CMC","111.4","3,838","4,276","4,659","4,277","1","190","../data/CA_prison_pop_reports/July_2014.pdf"
"598","(CA Medical Fac)","CMF","87.7","2,361","2,070","2,522","2,070","0","207","../data/CA_prison_pop_reports/July_2014.pdf"
"599","(CA Corcoran)","COR","138.5","3,116","4,317","4,445","4,317","0","216","../data/CA_prison_pop_reports/July_2014.pdf"
"600","(CA Rehabilitation Center)","CRC","111.8","2,491","2,785","3,481","2,785","0","224","../data/CA_prison_pop_reports/July_2014.pdf"
"601","(Correctional Training Fac)","CTF","152.5","3,312","5,051","5,231","5,051","0","233","../data/CA_prison_pop_reports/July_2014.pdf"
"602","(Chuckawalla Valley SP)","CVSP","132.1","1,738","2,296","2,478","2,296","0","250","../data/CA_prison_pop_reports/July_2014.pdf"
"603","(Deuel Vocational Institution)","DVI","152.7","1,681","2,567","2,585","2,567","0","258","../data/CA_prison_pop_reports/July_2014.pdf"
"604","(Folsom SP)","FOL","124.6","2,066","2,575","2,895","2,575","0","267","../data/CA_prison_pop_reports/July_2014.pdf"
"605","(High Desert SP)","HDSP","144.7","2,324","3,362","3,461","3,362","0","275","../data/CA_prison_pop_reports/July_2014.pdf"
"606","(Ironwood SP)","ISP","133.4","2,200","2,935","3,175","2,935","0","292","../data/CA_prison_pop_reports/July_2014.pdf"
"607","(Kern Valley SP)","KVSP","156.9","2,448","3,842","3,910","3,842","0","301","../data/CA_prison_pop_reports/July_2014.pdf"
"608","(CA Los Angeles County)","LAC","156.7","2,300","3,605","3,625","3,605","0","309","../data/CA_prison_pop_reports/July_2014.pdf"
"609","(Mule Creek SP)","MCSP","173.3","1,700","2,946","2,744","2,946","0","318","../data/CA_prison_pop_reports/July_2014.pdf"
"610","(North Kern SP)","NKSP","172.0","2,694","4,634","4,529","4,634","0","335","../data/CA_prison_pop_reports/July_2014.pdf"
"611","(Pelican Bay SP)","PBSP","118.5","2,380","2,821","3,032","2,821","0","344","../data/CA_prison_pop_reports/July_2014.pdf"
"612","(Pleasant Valley SP)","PVSP","133.4","2,308","3,080","3,533","3,080","0","352","../data/CA_prison_pop_reports/July_2014.pdf"
"613","(RJ Donovan Correctional Fac)","RJD","136.6","2,200","3,006","3,280","3,006","0","361","../data/CA_prison_pop_reports/July_2014.pdf"
"614","(CA Sacramento)","SAC","122.2","1,828","2,234","2,312","2,234","0","378","../data/CA_prison_pop_reports/July_2014.pdf"
"615","(CA Substance Abuse Treat Fac)","SATF","158.5","3,424","5,427","5,474","5,427","0","386","../data/CA_prison_pop_reports/July_2014.pdf"
"616","(Sierra Conservation Center)","SCC","124.2","3,736","4,641","4,674","4,641","0","395","../data/CA_prison_pop_reports/July_2014.pdf"
"617","(CA Solano)","SOL","152.0","2,610","3,965","3,890","3,966","1","403","../data/CA_prison_pop_reports/July_2014.pdf"
"618","(San Quentin SP)","SQ","125.5","3,082","3,867","3,898","3,867","0","420","../data/CA_prison_pop_reports/July_2014.pdf"
"619","(Salinas Valley SP)","SVSP","137.8","2,452","3,378","3,699","3,378","0","429","../data/CA_prison_pop_reports/July_2014.pdf"
"620","(Valley SP)","VSP","166.0","1,980","3,287","3,390","3,287","0","437","../data/CA_prison_pop_reports/July_2014.pdf"
"621","(Wasco SP)","WSP","172.4","2,984","5,145","4,997","5,145","0","446","../data/CA_prison_pop_reports/July_2014.pdf"
"622","Male Total","MALE","136.8","83,382","114,046","120,850","114,049","3","471","../data/CA_prison_pop_reports/July_2014.pdf"
"623","(Central CA Fac)","CCWF","186.3","2,004","3,734","3,515","3,734","0","514","../data/CA_prison_pop_reports/July_2014.pdf"
"624","(CA Institution for Women)","CIW","148.2","1,398","2,072","2,042","2,072","0","522","../data/CA_prison_pop_reports/July_2014.pdf"
"625","(Folsom SP)","FOL","101.0","403","407","443","407","0","531","../data/CA_prison_pop_reports/July_2014.pdf"
"626","Female Total","FEMALE","163.3","3,805","6,213","6,000","6,213","0","548","../data/CA_prison_pop_reports/July_2014.pdf"
"627","Total",NA,"137.9","87,187","120,259","126,850","120,262","3","591","../data/CA_prison_pop_reports/July_2014.pdf"
"628","(Avenal SP)","ASP","87.5","2,920","2,555","4,702","2,555","0","122","../data/CA_prison_pop_reports/July_2015.pdf"
"629","(Calipatria SP)","CAL","164.5","2,308","3,796","3,883","3,796","0","131","../data/CA_prison_pop_reports/July_2015.pdf"
"630","(CA Correctional Center)","CCC","102.8","3,883","3,991","4,872","3,992","1","139","../data/CA_prison_pop_reports/July_2015.pdf"
"631","(CA Correctional Institution)","CCI","141.1","2,783","3,928","4,414","3,928","0","148","../data/CA_prison_pop_reports/July_2015.pdf"
"632","(Centinela SP)","CEN","152.6","2,308","3,522","3,433","3,522","0","165","../data/CA_prison_pop_reports/July_2015.pdf"
"633","(CA Health Care Fac Stockton)","CHCF","68.7","2,951","2,027","2,951","2,027","0","173","../data/CA_prison_pop_reports/July_2015.pdf"
"634","(CA Institution for Men)","CIM","127.5","2,976","3,794","4,728","3,794","0","182","../data/CA_prison_pop_reports/July_2015.pdf"
"635","(CA Colony)","CMC","97.7","3,838","3,749","4,668","3,750","1","190","../data/CA_prison_pop_reports/July_2015.pdf"
"636","(CA Medical Fac)","CMF","101.4","2,361","2,394","2,756","2,394","0","207","../data/CA_prison_pop_reports/July_2015.pdf"
"637","(CA Corcoran)","COR","141.4","3,116","4,406","4,445","4,406","0","216","../data/CA_prison_pop_reports/July_2015.pdf"
"638","(CA Rehabilitation Center)","CRC","96.5","2,491","2,404","3,487","2,404","0","224","../data/CA_prison_pop_reports/July_2015.pdf"
"639","(Correctional Training Fac)","CTF","155.6","3,312","5,154","5,231","5,154","0","233","../data/CA_prison_pop_reports/July_2015.pdf"
"640","(Chuckawalla Valley SP)","CVSP","129.2","1,738","2,246","2,641","2,246","0","250","../data/CA_prison_pop_reports/July_2015.pdf"
"641","(Deuel Vocational Institution)","DVI","130.9","1,681","2,201","2,586","2,201","0","258","../data/CA_prison_pop_reports/July_2015.pdf"
"642","(Folsom SP)","FOL","113.3","2,066","2,340","2,895","2,340","0","267","../data/CA_prison_pop_reports/July_2015.pdf"
"643","(High Desert SP)","HDSP","145.7","2,324","3,385","3,461","3,385","0","275","../data/CA_prison_pop_reports/July_2015.pdf"
"644","(Ironwood SP)","ISP","166.9","2,200","3,671","3,175","3,671","0","292","../data/CA_prison_pop_reports/July_2015.pdf"
"645","(Kern Valley SP)","KVSP","147.3","2,448","3,605","3,910","3,605","0","301","../data/CA_prison_pop_reports/July_2015.pdf"
"646","(CA Los Angeles County)","LAC","152.9","2,300","3,516","3,600","3,516","0","309","../data/CA_prison_pop_reports/July_2015.pdf"
"647","(Mule Creek SP)","MCSP","173.4","1,700","2,947","2,807","2,947","0","318","../data/CA_prison_pop_reports/July_2015.pdf"
"648","(North Kern SP)","NKSP","166.3","2,694","4,479","4,529","4,479","0","335","../data/CA_prison_pop_reports/July_2015.pdf"
"649","(Pelican Bay SP)","PBSP","114.5","2,380","2,724","3,032","2,724","0","344","../data/CA_prison_pop_reports/July_2015.pdf"
"650","(Pleasant Valley SP)","PVSP","99.7","2,308","2,301","3,533","2,301","0","352","../data/CA_prison_pop_reports/July_2015.pdf"
"651","(RJ Donovan Correctional Fac)","RJD","144.0","2,200","3,167","3,305","3,167","0","361","../data/CA_prison_pop_reports/July_2015.pdf"
"652","(CA Sacramento)","SAC","126.8","1,828","2,317","2,312","2,317","0","378","../data/CA_prison_pop_reports/July_2015.pdf"
"653","(CA Substance Abuse Treat Fac)","SATF","161.6","3,424","5,533","5,449","5,533","0","386","../data/CA_prison_pop_reports/July_2015.pdf"
"654","(Sierra Conservation Center)","SCC","113.8","3,836","4,364","4,774","4,364","0","395","../data/CA_prison_pop_reports/July_2015.pdf"
"655","(CA Solano)","SOL","147.0","2,610","3,838","3,890","3,838","0","403","../data/CA_prison_pop_reports/July_2015.pdf"
"656","(San Quentin SP)","SQ","117.7","3,082","3,626","4,006","3,626","0","420","../data/CA_prison_pop_reports/July_2015.pdf"
"657","(Salinas Valley SP)","SVSP","151.6","2,452","3,718","3,657","3,718","0","429","../data/CA_prison_pop_reports/July_2015.pdf"
"658","(Valley SP)","VSP","174.8","1,980","3,461","3,346","3,461","0","437","../data/CA_prison_pop_reports/July_2015.pdf"
"659","(Wasco SP)","WSP","166.0","2,984","4,953","4,997","4,953","0","446","../data/CA_prison_pop_reports/July_2015.pdf"
"660","Male Total","MALE","131.9","83,482","110,112","121,475","110,114","2","471","../data/CA_prison_pop_reports/July_2015.pdf"
"661","(Central CA Fac)","CCWF","149.9","2,004","3,004","3,513","3,004","0","514","../data/CA_prison_pop_reports/July_2015.pdf"
"662","(CA Institution for Women)","CIW","131.8","1,398","1,843","2,042","1,843","0","522","../data/CA_prison_pop_reports/July_2015.pdf"
"663","(Folsom SP)","FOL","112.9","403","455","483","455","0","531","../data/CA_prison_pop_reports/July_2015.pdf"
"664","Female Total","FEMALE","139.3","3,805","5,302","6,038","5,302","0","548","../data/CA_prison_pop_reports/July_2015.pdf"
"665","Total",NA,"132.2","87,287","115,414","127,513","115,416","2","591","../data/CA_prison_pop_reports/July_2015.pdf"
"666","(Avenal SP)","ASP","110.3","2,920","3,221","4,727","3,221","0","122","../data/CA_prison_pop_reports/July_2016.pdf"
"667","(Calipatria SP)","CAL","163.4","2,308","3,772","3,883","3,772","0","131","../data/CA_prison_pop_reports/July_2016.pdf"
"668","(CA Correctional Center)","CCC","97.7","3,883","3,795","4,872","3,795","0","139","../data/CA_prison_pop_reports/July_2016.pdf"
"669","(CA Correctional Institution)","CCI","118.6","2,783","3,300","4,406","3,300","0","148","../data/CA_prison_pop_reports/July_2016.pdf"
"670","(Centinela SP)","CEN","158.6","2,308","3,661","3,433","3,661","0","165","../data/CA_prison_pop_reports/July_2016.pdf"
"671","(CA Health Care Fac Stockton)","CHCF","78.1","2,951","2,305","2,951","2,305","0","173","../data/CA_prison_pop_reports/July_2016.pdf"
"672","(CA Institution for Men)","CIM","123.0","2,976","3,660","4,728","3,660","0","182","../data/CA_prison_pop_reports/July_2016.pdf"
"673","(CA Colony)","CMC","107.9","3,838","4,142","4,660","4,142","0","190","../data/CA_prison_pop_reports/July_2016.pdf"
"674","(CA Medical Fac)","CMF","109.5","2,361","2,586","2,774","2,586","0","207","../data/CA_prison_pop_reports/July_2016.pdf"
"675","(CA Corcoran)","COR","108.4","3,116","3,379","4,483","3,379","0","216","../data/CA_prison_pop_reports/July_2016.pdf"
"676","(CA Rehabilitation Center)","CRC","127.6","2,491","3,179","3,487","3,179","0","224","../data/CA_prison_pop_reports/July_2016.pdf"
"677","(Correctional Training Fac)","CTF","153.3","3,312","5,076","5,231","5,076","0","233","../data/CA_prison_pop_reports/July_2016.pdf"
"678","(Chuckawalla Valley SP)","CVSP","134.3","1,738","2,335","2,641","2,335","0","250","../data/CA_prison_pop_reports/July_2016.pdf"
"679","(Deuel Vocational Institution)","DVI","141.3","1,681","2,375","2,580","2,375","0","258","../data/CA_prison_pop_reports/July_2016.pdf"
"680","(Folsom SP)","FOL","125.6","2,066","2,595","2,895","2,595","0","267","../data/CA_prison_pop_reports/July_2016.pdf"
"681","(High Desert SP)","HDSP","161.2","2,324","3,746","3,461","3,746","0","275","../data/CA_prison_pop_reports/July_2016.pdf"
"682","(Ironwood SP)","ISP","144.5","2,200","3,178","3,200","3,178","0","292","../data/CA_prison_pop_reports/July_2016.pdf"
"683","(Kern Valley SP)","KVSP","159.6","2,448","3,907","3,910","3,907","0","301","../data/CA_prison_pop_reports/July_2016.pdf"
"684","(CA Los Angeles County)","LAC","152.2","2,300","3,500","3,575","3,500","0","309","../data/CA_prison_pop_reports/July_2016.pdf"
"685","(Mule Creek SP)","MCSP","106.2","3,284","3,486","4,343","3,486","0","318","../data/CA_prison_pop_reports/July_2016.pdf"
"686","(North Kern SP)","NKSP","151.7","2,694","4,086","4,529","4,086","0","335","../data/CA_prison_pop_reports/July_2016.pdf"
"687","(Pelican Bay SP)","PBSP","98.4","2,380","2,343","3,048","2,343","0","344","../data/CA_prison_pop_reports/July_2016.pdf"
"688","(Pleasant Valley SP)","PVSP","140.8","2,308","3,249","3,533","3,249","0","352","../data/CA_prison_pop_reports/July_2016.pdf"
"689","(RJ Donovan Correctional Fac)","RJD","138.5","2,200","3,047","3,305","3,047","0","361","../data/CA_prison_pop_reports/July_2016.pdf"
"690","(CA Sacramento)","SAC","128.5","1,828","2,349","2,312","2,349","0","378","../data/CA_prison_pop_reports/July_2016.pdf"
"691","(CA Substance Abuse Treat Fac)","SATF","155.5","3,424","5,324","5,495","5,325","1","386","../data/CA_prison_pop_reports/July_2016.pdf"
"692","(Sierra Conservation Center)","SCC","108.7","3,936","4,277","4,774","4,277","0","395","../data/CA_prison_pop_reports/July_2016.pdf"
"693","(CA Solano)","SOL","149.0","2,610","3,888","3,866","3,888","0","403","../data/CA_prison_pop_reports/July_2016.pdf"
"694","(San Quentin SP)","SQ","133.2","3,082","4,106","3,956","4,106","0","420","../data/CA_prison_pop_reports/July_2016.pdf"
"695","(Salinas Valley SP)","SVSP","153.3","2,452","3,759","3,657","3,759","0","429","../data/CA_prison_pop_reports/July_2016.pdf"
"696","(Valley SP)","VSP","172.0","1,980","3,405","3,358","3,405","0","437","../data/CA_prison_pop_reports/July_2016.pdf"
"697","(Wasco SP)","WSP","162.6","2,984","4,853","4,997","4,853","0","446","../data/CA_prison_pop_reports/July_2016.pdf"
"698","Male Total","MALE","131.4","85,166","111,884","123,070","111,885","1","471","../data/CA_prison_pop_reports/July_2016.pdf"
"699","(Central CA Fac)","CCWF","139.5","2,004","2,795","3,513","2,795","0","514","../data/CA_prison_pop_reports/July_2016.pdf"
"700","(CA Institution for Women)","CIW","134.0","1,398","1,874","2,038","1,874","0","522","../data/CA_prison_pop_reports/July_2016.pdf"
"701","(Folsom SP)","FOL","117.9","403","475","483","475","0","531","../data/CA_prison_pop_reports/July_2016.pdf"
"702","Female Total","FEMALE","135.2","3,805","5,144","6,034","5,144","0","548","../data/CA_prison_pop_reports/July_2016.pdf"
"703","Total",NA,"131.5","88,971","117,028","129,104","117,029","1","591","../data/CA_prison_pop_reports/July_2016.pdf"
"704","(Avenal SP)","ASP","148.2","2,920","4,326","4,370","4,326","0","122","../data/CA_prison_pop_reports/July_2018.pdf"
"705","(Calipatria SP)","CAL","154.5","2,308","3,566","3,333","3,566","0","131","../data/CA_prison_pop_reports/July_2018.pdf"
"706","(CA Correctional Center)","CCC","121.7","3,883","4,727","4,667","4,727","0","139","../data/CA_prison_pop_reports/July_2018.pdf"
"707","(CA Correctional Institution)","CCI","120.0","2,783","3,339","4,120","3,339","0","148","../data/CA_prison_pop_reports/July_2018.pdf"
"708","(Centinela SP)","CEN","145.0","2,308","3,346","3,333","3,346","0","165","../data/CA_prison_pop_reports/July_2018.pdf"
"709","(CA Health Care Fac Stockton)","CHCF","92.1","2,951","2,719","2,951","2,719","0","173","../data/CA_prison_pop_reports/July_2018.pdf"
"710","(CA Institution for Men)","CIM","125.3","2,976","3,730","4,186","3,730","0","182","../data/CA_prison_pop_reports/July_2018.pdf"
"711","(CA Colony)","CMC","101.5","3,838","3,894","4,379","3,894","0","190","../data/CA_prison_pop_reports/July_2018.pdf"
"712","(CA Medical Fac)","CMF","101.7","2,361","2,400","2,789","2,400","0","207","../data/CA_prison_pop_reports/July_2018.pdf"
"713","(CA Corcoran)","COR","103.7","3,116","3,232","4,270","3,232","0","216","../data/CA_prison_pop_reports/July_2018.pdf"
"714","(CA Rehabilitation Center)","CRC","99.1","2,491","2,469","3,210","2,469","0","224","../data/CA_prison_pop_reports/July_2018.pdf"
"715","(Correctional Training Fac)","CTF","161.1","3,312","5,335","4,887","5,335","0","233","../data/CA_prison_pop_reports/July_2018.pdf"
"716","(Chuckawalla Valley SP)","CVSP","167.1","1,738","2,904","2,478","2,904","0","250","../data/CA_prison_pop_reports/July_2018.pdf"
"717","(Deuel Vocational Institution)","DVI","121.2","1,681","2,037","2,353","2,037","0","258","../data/CA_prison_pop_reports/July_2018.pdf"
"718","(Folsom SP)","FOL","114.8","2,066","2,371","2,895","2,371","0","267","../data/CA_prison_pop_reports/July_2018.pdf"
