"","name","abrev","PercCap","DesCap","FelOth","StafCap","Total","CivAdd","Yindex","Year"
"473","(CAL INST FOR WOMEN)","CIW","173.4","1,386","2,222","2,521","2,404","182","522","../data/CA_prison_pop_reports/July_2010.pdf"
"474","(CENT CAL FACIL)","CCWF","181.8","2,004","3,640","3,859","3,644","4","531","../data/CA_prison_pop_reports/July_2010.pdf"
"475","(FRCCC BAKERSFIELD)","FRCC","105.3","75","79","75","79","0","539","../data/CA_prison_pop_reports/July_2010.pdf"
"476","(RIO COSUMNES COR CTR-RC)","RIO","-","0","4","0","4","0","548","../data/CA_prison_pop_reports/July_2010.pdf"
"477","(VALLEY SP)","VSP","171.1","1,980","3,376","3,486","3,387","11","557","../data/CA_prison_pop_reports/July_2010.pdf"
"478","Female Total","FEMALE","174.8","5,445","9,321","9,941","9,518","197","582","../data/CA_prison_pop_reports/July_2010.pdf"
"479","Total",NA,"180.1","84,156","150,790","154,895","151,550","760","625","../data/CA_prison_pop_reports/July_2010.pdf"
"480","(AVENAL SP)","ASP","196.1","2,920","5,725","5,760","5,725","0","122","../data/CA_prison_pop_reports/July_2011.pdf"
"481","(CAL CORRECTL CTR)","CCC","140.4","3,883","5,452","5,533","5,452","0","131","../data/CA_prison_pop_reports/July_2011.pdf"
"482","(CAL CORRECTL INSTITN)","CCI","205.5","2,783","5,718","5,812","5,718","0","139","../data/CA_prison_pop_reports/July_2011.pdf"
"483","(CAL INSTITN FOR MEN)","CIM","203.7","2,976","6,060","7,407","6,062","2","148","../data/CA_prison_pop_reports/July_2011.pdf"
"484","(CAL MEDICAL FACIL)","CMF","124.7","2,297","2,865","2,780","2,865","0","165","../data/CA_prison_pop_reports/July_2011.pdf"
"485","(CAL COLONY)","CMC","163.0","3,838","6,255","6,361","6,255","0","173","../data/CA_prison_pop_reports/July_2011.pdf"
"486","(CAL REHAB MEN)","CRC","164.4","2,491","3,753","4,176","4,096","343","182","../data/CA_prison_pop_reports/July_2011.pdf"
"487","(CAL CALIPATRIA)","CAL","183.9","2,308","4,244","4,045","4,244","0","190","../data/CA_prison_pop_reports/July_2011.pdf"
"488","(CAL CENTINELA)","CEN","179.6","2,308","4,146","4,143","4,146","0","207","../data/CA_prison_pop_reports/July_2011.pdf"
"489","(CAL CORCORAN)","COR","155.7","3,116","4,851","4,918","4,851","0","216","../data/CA_prison_pop_reports/July_2011.pdf"
"490","(CAL LOS ANGELES CO)","LAC","182.7","2,300","4,201","4,380","4,201","0","224","../data/CA_prison_pop_reports/July_2011.pdf"
"491","(CAL SACRAMENTO)","SAC","154.8","1,828","2,829","2,843","2,829","0","233","../data/CA_prison_pop_reports/July_2011.pdf"
"492","(CAL SAN QUENTIN)","SQ","155.4","3,082","4,780","4,792","4,788","8","250","../data/CA_prison_pop_reports/July_2011.pdf"
"493","(CAL SOLANO)","SOL","192.7","2,610","5,029","4,990","5,029","0","258","../data/CA_prison_pop_reports/July_2011.pdf"
"494","(CAL SATF AND SP COR)","SATF","185.0","3,424","6,319","6,138","6,335","16","267","../data/CA_prison_pop_reports/July_2011.pdf"
"495","(CHUCKAWALLA VALLEY SP)","CVSP","178.9","1,738","3,109","3,218","3,109","0","275","../data/CA_prison_pop_reports/July_2011.pdf"
"496","(CORRL TRAING FAC)","CTF","196.7","3,312","6,515","6,127","6,515","0","292","../data/CA_prison_pop_reports/July_2011.pdf"
"497","(DEUEL VOCATL INSTITN)","DVI","228.6","1,681","3,831","3,811","3,842","11","301","../data/CA_prison_pop_reports/July_2011.pdf"
"498","(FOLSOM SP)","FOL","150.2","2,469","3,707","3,601","3,708","1","309","../data/CA_prison_pop_reports/July_2011.pdf"
"499","(HIGH DESERT SP)","HDP","182.1","2,324","4,226","4,211","4,231","5","318","../data/CA_prison_pop_reports/July_2011.pdf"
"500","(IRONWOOD SP)","IRON","188.8","2,200","4,153","4,010","4,153","0","335","../data/CA_prison_pop_reports/July_2011.pdf"
